,consumption,interval_start,interval_end,unit,type,data_source
0,0.0,2024-06-30T00:00:00+01:00,2024-06-30T00:30:00+01:00,kwh,electrity,octopus_api
1,0.0,2024-06-29T23:30:00+01:00,2024-06-30T00:00:00+01:00,kwh,electrity,octopus_api
2,0.0,2024-06-29T23:00:00+01:00,2024-06-29T23:30:00+01:00,kwh,electrity,octopus_api
3,0.0,2024-06-29T22:30:00+01:00,2024-06-29T23:00:00+01:00,kwh,electrity,octopus_api
4,0.001,2024-06-29T22:00:00+01:00,2024-06-29T22:30:00+01:00,kwh,electrity,octopus_api
5,0.001,2024-06-29T21:30:00+01:00,2024-06-29T22:00:00+01:00,kwh,electrity,octopus_api
6,0.0,2024-06-29T21:00:00+01:00,2024-06-29T21:30:00+01:00,kwh,electrity,octopus_api
7,0.0,2024-06-29T20:30:00+01:00,2024-06-29T21:00:00+01:00,kwh,electrity,octopus_api
8,0.969,2024-06-29T20:00:00+01:00,2024-06-29T20:30:00+01:00,kwh,electrity,octopus_api
9,4.072,2024-06-29T19:30:00+01:00,2024-06-29T20:00:00+01:00,kwh,electrity,octopus_api
10,3.69,2024-06-29T19:00:00+01:00,2024-06-29T19:30:00+01:00,kwh,electrity,octopus_api
11,3.384,2024-06-29T18:30:00+01:00,2024-06-29T19:00:00+01:00,kwh,electrity,octopus_api
12,3.12,2024-06-29T18:00:00+01:00,2024-06-29T18:30:00+01:00,kwh,electrity,octopus_api
13,3.667,2024-06-29T17:30:00+01:00,2024-06-29T18:00:00+01:00,kwh,electrity,octopus_api
14,0.04,2024-06-29T17:00:00+01:00,2024-06-29T17:30:00+01:00,kwh,electrity,octopus_api
15,0.0,2024-06-29T16:30:00+01:00,2024-06-29T17:00:00+01:00,kwh,electrity,octopus_api
16,0.0,2024-06-29T16:00:00+01:00,2024-06-29T16:30:00+01:00,kwh,electrity,octopus_api
17,0.006,2024-06-29T15:30:00+01:00,2024-06-29T16:00:00+01:00,kwh,electrity,octopus_api
18,0.023,2024-06-29T15:00:00+01:00,2024-06-29T15:30:00+01:00,kwh,electrity,octopus_api
19,0.015,2024-06-29T14:30:00+01:00,2024-06-29T15:00:00+01:00,kwh,electrity,octopus_api
20,0.021,2024-06-29T14:00:00+01:00,2024-06-29T14:30:00+01:00,kwh,electrity,octopus_api
21,0.018,2024-06-29T13:30:00+01:00,2024-06-29T14:00:00+01:00,kwh,electrity,octopus_api
22,0.017,2024-06-29T13:00:00+01:00,2024-06-29T13:30:00+01:00,kwh,electrity,octopus_api
23,0.018,2024-06-29T12:30:00+01:00,2024-06-29T13:00:00+01:00,kwh,electrity,octopus_api
24,0.015,2024-06-29T12:00:00+01:00,2024-06-29T12:30:00+01:00,kwh,electrity,octopus_api
25,0.015,2024-06-29T11:30:00+01:00,2024-06-29T12:00:00+01:00,kwh,electrity,octopus_api
26,0.01,2024-06-29T11:00:00+01:00,2024-06-29T11:30:00+01:00,kwh,electrity,octopus_api
27,0.0,2024-06-29T10:30:00+01:00,2024-06-29T11:00:00+01:00,kwh,electrity,octopus_api
28,0.002,2024-06-29T10:00:00+01:00,2024-06-29T10:30:00+01:00,kwh,electrity,octopus_api
29,0.007,2024-06-29T09:30:00+01:00,2024-06-29T10:00:00+01:00,kwh,electrity,octopus_api
30,0.007,2024-06-29T09:00:00+01:00,2024-06-29T09:30:00+01:00,kwh,electrity,octopus_api
31,0.006,2024-06-29T08:30:00+01:00,2024-06-29T09:00:00+01:00,kwh,electrity,octopus_api
32,0.004,2024-06-29T08:00:00+01:00,2024-06-29T08:30:00+01:00,kwh,electrity,octopus_api
33,0.003,2024-06-29T07:30:00+01:00,2024-06-29T08:00:00+01:00,kwh,electrity,octopus_api
34,0.003,2024-06-29T07:00:00+01:00,2024-06-29T07:30:00+01:00,kwh,electrity,octopus_api
35,0.002,2024-06-29T06:30:00+01:00,2024-06-29T07:00:00+01:00,kwh,electrity,octopus_api
36,0.001,2024-06-29T06:00:00+01:00,2024-06-29T06:30:00+01:00,kwh,electrity,octopus_api
37,0.0,2024-06-29T05:30:00+01:00,2024-06-29T06:00:00+01:00,kwh,electrity,octopus_api
38,0.001,2024-06-29T05:00:00+01:00,2024-06-29T05:30:00+01:00,kwh,electrity,octopus_api
39,0.0,2024-06-29T04:30:00+01:00,2024-06-29T05:00:00+01:00,kwh,electrity,octopus_api
40,0.0,2024-06-29T04:00:00+01:00,2024-06-29T04:30:00+01:00,kwh,electrity,octopus_api
41,0.0,2024-06-29T03:30:00+01:00,2024-06-29T04:00:00+01:00,kwh,electrity,octopus_api
42,0.001,2024-06-29T03:00:00+01:00,2024-06-29T03:30:00+01:00,kwh,electrity,octopus_api
43,0.0,2024-06-29T02:30:00+01:00,2024-06-29T03:00:00+01:00,kwh,electrity,octopus_api
44,0.0,2024-06-29T02:00:00+01:00,2024-06-29T02:30:00+01:00,kwh,electrity,octopus_api
45,0.0,2024-06-29T01:30:00+01:00,2024-06-29T02:00:00+01:00,kwh,electrity,octopus_api
46,0.0,2024-06-29T01:00:00+01:00,2024-06-29T01:30:00+01:00,kwh,electrity,octopus_api
47,0.0,2024-06-29T00:30:00+01:00,2024-06-29T01:00:00+01:00,kwh,electrity,octopus_api
48,0.0,2024-06-29T00:00:00+01:00,2024-06-29T00:30:00+01:00,kwh,electrity,octopus_api
49,0.0,2024-06-28T23:30:00+01:00,2024-06-29T00:00:00+01:00,kwh,electrity,octopus_api
50,0.0,2024-06-28T23:00:00+01:00,2024-06-28T23:30:00+01:00,kwh,electrity,octopus_api
51,0.0,2024-06-28T22:30:00+01:00,2024-06-28T23:00:00+01:00,kwh,electrity,octopus_api
52,0.0,2024-06-28T22:00:00+01:00,2024-06-28T22:30:00+01:00,kwh,electrity,octopus_api
53,0.0,2024-06-28T21:30:00+01:00,2024-06-28T22:00:00+01:00,kwh,electrity,octopus_api
54,0.001,2024-06-28T21:00:00+01:00,2024-06-28T21:30:00+01:00,kwh,electrity,octopus_api
55,0.001,2024-06-28T20:30:00+01:00,2024-06-28T21:00:00+01:00,kwh,electrity,octopus_api
56,0.0,2024-06-28T20:00:00+01:00,2024-06-28T20:30:00+01:00,kwh,electrity,octopus_api
57,0.005,2024-06-28T19:30:00+01:00,2024-06-28T20:00:00+01:00,kwh,electrity,octopus_api
58,0.011,2024-06-28T19:00:00+01:00,2024-06-28T19:30:00+01:00,kwh,electrity,octopus_api
59,0.007,2024-06-28T18:30:00+01:00,2024-06-28T19:00:00+01:00,kwh,electrity,octopus_api
60,0.006,2024-06-28T18:00:00+01:00,2024-06-28T18:30:00+01:00,kwh,electrity,octopus_api
61,0.011,2024-06-28T17:30:00+01:00,2024-06-28T18:00:00+01:00,kwh,electrity,octopus_api
62,0.007,2024-06-28T17:00:00+01:00,2024-06-28T17:30:00+01:00,kwh,electrity,octopus_api
