value_exc_vat,value_inc_vat,valid_from,valid_to
5.238,5.4999,2024-07-02T19:30:00Z,2024-07-03T00:30:00Z
14.9,15.645,2024-07-02T00:30:00Z,2024-07-02T19:30:00Z
5.238,5.4999,2024-07-01T19:30:00Z,2024-07-02T00:30:00Z
14.9,15.645,2024-07-01T00:30:00Z,2024-07-01T19:30:00Z
5.238,5.4999,2024-06-30T19:30:00Z,2024-07-01T00:30:00Z
14.9,15.645,2024-06-30T00:30:00Z,2024-06-30T19:30:00Z
5.238,5.4999,2024-06-29T19:30:00Z,2024-06-30T00:30:00Z
14.9,15.645,2024-06-29T00:30:00Z,2024-06-29T19:30:00Z
5.238,5.4999,2024-06-28T19:30:00Z,2024-06-29T00:30:00Z
14.9,15.645,2024-06-28T00:30:00Z,2024-06-28T19:30:00Z
5.238,5.4999,2024-06-27T19:30:00Z,2024-06-28T00:30:00Z
14.9,15.645,2024-06-27T00:30:00Z,2024-06-27T19:30:00Z
5.238,5.4999,2024-06-26T19:30:00Z,2024-06-27T00:30:00Z
14.9,15.645,2024-06-26T00:30:00Z,2024-06-26T19:30:00Z
5.238,5.4999,2024-06-25T19:30:00Z,2024-06-26T00:30:00Z
14.9,15.645,2024-06-25T00:30:00Z,2024-06-25T19:30:00Z
5.238,5.4999,2024-06-24T19:30:00Z,2024-06-25T00:30:00Z
14.9,15.645,2024-06-24T00:30:00Z,2024-06-24T19:30:00Z
5.238,5.4999,2024-06-23T19:30:00Z,2024-06-24T00:30:00Z
14.9,15.645,2024-06-23T00:30:00Z,2024-06-23T19:30:00Z
5.238,5.4999,2024-06-22T19:30:00Z,2024-06-23T00:30:00Z
14.9,15.645,2024-06-22T00:30:00Z,2024-06-22T19:30:00Z
5.238,5.4999,2024-06-21T19:30:00Z,2024-06-22T00:30:00Z
14.9,15.645,2024-06-21T00:30:00Z,2024-06-21T19:30:00Z
5.238,5.4999,2024-06-20T19:30:00Z,2024-06-21T00:30:00Z
14.9,15.645,2024-06-20T00:30:00Z,2024-06-20T19:30:00Z
5.238,5.4999,2024-06-19T19:30:00Z,2024-06-20T00:30:00Z
14.9,15.645,2024-06-19T00:30:00Z,2024-06-19T19:30:00Z
5.238,5.4999,2024-06-18T19:30:00Z,2024-06-19T00:30:00Z
14.9,15.645,2024-06-18T00:30:00Z,2024-06-18T19:30:00Z
5.238,5.4999,2024-06-17T19:30:00Z,2024-06-18T00:30:00Z
14.9,15.645,2024-06-17T00:30:00Z,2024-06-17T19:30:00Z
5.238,5.4999,2024-06-16T19:30:00Z,2024-06-17T00:30:00Z
14.9,15.645,2024-06-16T00:30:00Z,2024-06-16T19:30:00Z
