value_exc_vat,value_inc_vat,valid_from,valid_to
19.9143,20.910015,2024-06-30T23:00:00Z,
21.9619,23.059995,2024-03-31T23:00:00Z,2024-06-30T23:00:00Z
26.3619,27.679995,2024-01-01T00:00:00Z,2024-03-31T23:00:00Z
25.1524,26.41002,2023-09-30T23:00:00Z,2024-01-01T00:00:00Z
27.1905,28.550025,2023-06-30T23:00:00Z,2023-09-30T23:00:00Z
30.1429,31.650045,2023-03-31T23:00:00Z,2023-06-30T23:00:00Z
31.204,32.7642,2022-10-13T23:00:00Z,2023-03-31T23:00:00Z
32.1207,33.726735,2022-09-30T23:00:00Z,2022-10-13T23:00:00Z
26.3,27.615,2022-04-20T23:00:00Z,2022-09-30T23:00:00Z
19.26,20.223,2022-02-08T00:00:00Z,2022-04-20T23:00:00Z
